thesis,variant,signal_utc,entry_utc,direction,session,entry_price,tp_price,sl_price,exit_utc,exit_price,exit_reason,net_usd_x1,macro_labels,year
baseline_sma_distance_v1_control,unguarded,2023-05-10T13:00:00+00:00,2023-05-10T14:00:00+00:00,long,london_ny_overlap,2045.52,2069.52,2030.52,2023-05-10T15:38:00+00:00,2030.52,stop_loss,-15.35,,2023
baseline_sma_distance_v1_control,unguarded,2023-05-12T14:00:00+00:00,2023-05-12T15:00:00+00:00,long,london_ny_overlap,2019.99,2043.99,2004.99,2023-05-12T20:58:00+00:00,2010.73,time_exit,-9.61,,2023
baseline_sma_distance_v1_control,unguarded,2023-05-19T17:00:00+00:00,2023-05-19T18:00:00+00:00,long,new_york,1978.27,2002.27,1963.27,2023-05-19T20:58:00+00:00,1976.15,time_exit,-2.47,,2023
baseline_sma_distance_v1_control,unguarded,2023-05-23T17:00:00+00:00,2023-05-23T18:00:00+00:00,long,new_york,1973.11,1997.11,1958.11,2023-05-24T05:59:00+00:00,1977.52,time_exit,4.06,,2023
baseline_sma_distance_v1_control,unguarded,2023-05-30T10:00:00+00:00,2023-05-30T11:00:00+00:00,long,london,1952.87,1976.87,1937.87,2023-05-30T21:58:00+00:00,1959.27,time_exit,6.05,,2023
baseline_sma_distance_v1_control,unguarded,2023-06-01T15:00:00+00:00,2023-06-01T16:00:00+00:00,long,london_ny_overlap,1976.19,2000.19,1961.19,2023-06-02T03:59:00+00:00,1980.33,time_exit,3.79,,2023
baseline_sma_distance_v1_control,unguarded,2023-06-05T15:00:00+00:00,2023-06-05T16:00:00+00:00,long,london_ny_overlap,1957.51,1981.51,1942.51,2023-06-06T03:59:00+00:00,1960.86,time_exit,3.0,,2023
baseline_sma_distance_v1_control,unguarded,2023-06-08T13:00:00+00:00,2023-06-08T14:00:00+00:00,long,london_ny_overlap,1959.27,1983.27,1944.27,2023-06-09T01:59:00+00:00,1963.27,time_exit,3.65,,2023
baseline_sma_distance_v1_control,unguarded,2023-06-15T14:00:00+00:00,2023-06-15T15:00:00+00:00,long,london_ny_overlap,1952.77,1976.77,1937.77,2023-06-16T02:59:00+00:00,1959.26,time_exit,6.14,,2023
baseline_sma_distance_v1_control,unguarded,2023-06-23T13:00:00+00:00,2023-06-23T14:00:00+00:00,long,london_ny_overlap,1929.0,1953.0,1914.0,2023-06-23T20:58:00+00:00,1919.18,time_exit,-10.17,,2023
baseline_sma_distance_v1_control,unguarded,2023-06-30T16:00:00+00:00,2023-06-30T17:00:00+00:00,long,new_york,1918.92,1942.92,1903.92,2023-06-30T20:58:00+00:00,1920.02,time_exit,0.75,,2023
baseline_sma_distance_v1_control,unguarded,2023-07-03T15:00:00+00:00,2023-07-03T16:00:00+00:00,long,london_ny_overlap,1930.1,1954.1,1915.1,2023-07-04T03:59:00+00:00,1921.42,time_exit,-9.03,,2023
baseline_sma_distance_v1_control,unguarded,2023-07-07T15:00:00+00:00,2023-07-07T16:00:00+00:00,long,london_ny_overlap,1933.68,1957.68,1918.68,2023-07-07T20:58:00+00:00,1925.13,time_exit,-8.9,,2023
baseline_sma_distance_v1_control,unguarded,2023-07-12T14:00:00+00:00,2023-07-12T15:00:00+00:00,long,london_ny_overlap,1956.04,1980.04,1941.04,2023-07-13T02:59:00+00:00,1959.51,time_exit,3.12,,2023
baseline_sma_distance_v1_control,unguarded,2023-07-18T15:00:00+00:00,2023-07-18T16:00:00+00:00,long,london_ny_overlap,1982.82,2006.82,1967.82,2023-07-19T03:59:00+00:00,1976.4,time_exit,-6.77,,2023
baseline_sma_distance_v1_control,unguarded,2023-07-31T14:00:00+00:00,2023-07-31T15:00:00+00:00,long,london_ny_overlap,1971.43,1995.43,1956.43,2023-08-01T02:59:00+00:00,1960.94,time_exit,-10.84,,2023
baseline_sma_distance_v1_control,unguarded,2023-08-23T14:00:00+00:00,2023-08-23T15:00:00+00:00,long,london_ny_overlap,1918.08,1942.08,1903.08,2023-08-24T02:59:00+00:00,1918.7,time_exit,0.27,,2023
baseline_sma_distance_v1_control,unguarded,2023-08-29T15:00:00+00:00,2023-08-29T16:00:00+00:00,long,london_ny_overlap,1934.1,1958.1,1919.1,2023-08-30T03:59:00+00:00,1936.7,time_exit,2.25,,2023
baseline_sma_distance_v1_control,unguarded,2023-09-20T15:00:00+00:00,2023-09-20T16:00:00+00:00,long,london_ny_overlap,1943.88,1967.88,1928.88,2023-09-21T01:02:00+00:00,1928.88,stop_loss,-15.35,,2023
baseline_sma_distance_v1_control,unguarded,2023-10-06T16:00:00+00:00,2023-10-06T17:00:00+00:00,long,new_york,1832.41,1856.41,1817.41,2023-10-06T20:58:00+00:00,1829.31,time_exit,-3.45,,2023
baseline_sma_distance_v1_control,unguarded,2023-10-08T23:00:00+00:00,2023-10-09T00:00:00+00:00,long,asia,1849.5,1873.5,1834.5,2023-10-09T11:59:00+00:00,1849.94,time_exit,0.09,,2023
baseline_sma_distance_v1_control,unguarded,2023-10-09T20:00:00+00:00,2023-10-09T21:00:00+00:00,long,new_york,1863.05,1887.05,1848.05,2023-10-10T08:59:00+00:00,1857.21,time_exit,-6.19,,2023
