replay_mode,signal_server_time,signal_utc_time,entry_server_time,entry_utc_time,exit_server_time,exit_utc_time,session_utc,entry_price,close_h1,sma10,distance_usd,tp_usd,sl_usd,time_exit_h1_bars,exit_reason,gross_usd,net_usd,ambiguous_exit
overlap_every_signal,2022-09-28 16:00:00,2022-09-28 13:00:00,2022-09-28 17:00:00,2022-09-28 14:00:00,2022-09-29 05:00:00,2022-09-29 02:00:00,london_ny_overlap,1649.04,1649.13,1626.311,22.819,24.0,15.0,12,time_exit,6.19,5.84,False
overlap_every_signal,2022-09-28 17:00:00,2022-09-28 14:00:00,2022-09-28 18:00:00,2022-09-28 15:00:00,2022-09-29 06:00:00,2022-09-29 03:00:00,london_ny_overlap,1650.42,1650.5,1629.033,21.467,24.0,15.0,12,time_exit,2.8,2.45,False
overlap_every_signal,2022-09-28 18:00:00,2022-09-28 15:00:00,2022-09-28 19:00:00,2022-09-28 16:00:00,2022-09-29 07:00:00,2022-09-29 04:00:00,london_ny_overlap,1658.62,1658.55,1632.584,25.966,24.0,15.0,12,time_exit,-4.61,-4.96,False
overlap_every_signal,2022-09-28 19:00:00,2022-09-28 16:00:00,2022-09-28 20:00:00,2022-09-28 17:00:00,2022-09-29 08:00:00,2022-09-29 05:00:00,new_york,1659.08,1659.08,1636.331,22.749,24.0,15.0,12,time_exit,-6.81,-7.16,False
overlap_every_signal,2022-09-28 20:00:00,2022-09-28 17:00:00,2022-09-28 21:00:00,2022-09-28 18:00:00,2022-09-29 08:40:00,2022-09-29 05:40:00,new_york,1660.47,1660.52,1640.215,20.305,24.0,15.0,12,stop_loss,-15.0,-15.35,False
overlap_every_signal,2022-09-28 21:00:00,2022-09-28 18:00:00,2022-09-28 22:00:00,2022-09-28 19:00:00,2022-09-29 08:39:00,2022-09-29 05:39:00,new_york,1661.75,1661.69,1644.392,17.298,24.0,15.0,12,stop_loss,-15.0,-15.35,False
overlap_every_signal,2022-09-28 22:00:00,2022-09-28 19:00:00,2022-09-28 23:00:00,2022-09-28 20:00:00,2022-09-29 08:40:00,2022-09-29 05:40:00,new_york,1660.48,1660.49,1648.787,11.703,24.0,15.0,12,stop_loss,-15.0,-15.35,False
overlap_every_signal,2022-10-03 17:00:00,2022-10-03 14:00:00,2022-10-03 18:00:00,2022-10-03 15:00:00,2022-10-04 06:00:00,2022-10-04 03:00:00,london_ny_overlap,1686.76,1686.83,1667.004,19.826,24.0,15.0,12,time_exit,9.39,9.04,False
overlap_every_signal,2022-10-03 18:00:00,2022-10-03 15:00:00,2022-10-03 19:00:00,2022-10-03 16:00:00,2022-10-04 07:00:00,2022-10-04 04:00:00,london_ny_overlap,1690.13,1690.13,1669.352,20.778,24.0,15.0,12,time_exit,9.2,8.85,False
overlap_every_signal,2022-10-03 19:00:00,2022-10-03 16:00:00,2022-10-03 20:00:00,2022-10-03 17:00:00,2022-10-04 08:00:00,2022-10-04 05:00:00,new_york,1690.99,1690.97,1672.11,18.86,24.0,15.0,12,time_exit,8.96,8.61,False
overlap_every_signal,2022-10-03 20:00:00,2022-10-03 17:00:00,2022-10-03 21:00:00,2022-10-03 18:00:00,2022-10-04 09:00:00,2022-10-04 06:00:00,new_york,1694.83,1694.78,1675.23,19.55,24.0,15.0,12,time_exit,7.77,7.42,False
